#     theta/pi                    M=1000                   M=10000                 M=25000

9.220000000000001805e-02 1.992052191439321560e-08 1.586284935593539706e-58 2.072325370669666542e-149
9.229999999999999316e-02 2.973536538876581054e-08 7.425982611812394818e-57 3.868228016879422370e-145
9.239999999999999603e-02 4.413730069692723082e-08 3.298106720355844886e-55 6.325718473744954591e-141
9.250000000000001277e-02 6.514545200631148452e-08 1.389203570459098348e-53 9.054898463002496056e-137
9.259999999999998788e-02 9.560802879374486100e-08 5.547672081117993401e-52 1.133620978297244598e-132
9.270000000000000462e-02 1.395156185421103050e-07 2.099682937366771913e-50 1.240223667044984951e-128
9.280000000000000748e-02 2.024211872176483980e-07 7.529223728802678938e-49 1.184732329138975886e-124
9.290000000000001035e-02 2.919983980452855376e-07 2.557154781016250223e-47 9.873520596492206540e-121
9.300000000000001321e-02 4.187774170991841128e-07 8.223039081694961628e-46 7.173027017004167141e-117
9.310000000000000220e-02 5.971060839447856415e-07 2.502856520013521878e-44 4.539024232903981250e-113
9.320000000000000506e-02 8.463941229013219568e-07 7.208239904087986283e-43 2.499812132981236037e-109
9.330000000000000793e-02 1.192708778407282563e-06 1.963701331480307332e-41 1.197283322902085657e-105
9.339999999999999691e-02 1.670801549998021612e-06 5.058709986782736010e-40 4.983059218965607482e-102
9.349999999999999978e-02 2.326657063503917573e-06 1.231940214471019664e-38 1.800839397723650343e-98
9.360000000000000264e-02 3.220665802887541205e-06 2.835271424379958028e-37 5.646896436143158556e-95
9.370000000000000551e-02 4.431531437399388160e-06 6.164912756691260308e-36 1.535263419822362766e-91
9.380000000000000837e-02 6.061029520723807028e-06 1.266080415062504850e-34 3.616456596405202116e-88
9.389999999999999736e-02 8.239735826865762761e-06 2.455134666275520754e-33 7.375765350294321256e-85
9.400000000000000022e-02 1.113383765764316793e-05 4.494171657166338900e-32 1.301542235350912901e-81
9.410000000000000309e-02 1.495312801339233201e-05 7.763689734618112816e-31 1.985860785610240963e-78
9.419999999999999207e-02 1.996025832513287623e-05 1.265371840653340111e-29 2.618179412877272333e-75
9.429999999999999494e-02 2.648128825852915378e-05 1.945317959993163825e-28 2.980849290053974632e-72
9.439999999999999780e-02 3.491751885243277713e-05 2.820202531663662806e-27 2.928939413726195204e-69
9.450000000000000067e-02 4.575852629667073870e-05 3.854661230266301720e-26 2.482336430880976026e-66
9.460000000000001741e-02 5.959622703188319860e-05 4.966056386006433845e-25 1.813643410998333473e-63
9.469999999999999252e-02 7.713970062210611560e-05 6.029266607892792553e-24 1.141712937862820571e-60
9.479999999999999538e-02 9.923037639465177157e-05 6.896956707907778233e-23 6.189573545202882481e-58
9.490000000000001212e-02 1.268570561891044983e-04 7.432049024702481911e-22 2.888426316521206262e-55
9.499999999999998723e-02 1.611701036204572703e-04 7.542945542252806913e-21 1.159765640111896040e-52
9.510000000000000397e-02 2.034939870024992466e-04 7.209143850811062523e-20 4.005101622032693004e-50
9.520000000000000684e-02 2.553372275204513842e-04 6.487414897154909796e-19 1.189138045966757462e-47
9.530000000000000970e-02 3.183986872917221882e-04 5.495992713953278988e-18 3.034473659420223317e-45
9.540000000000001257e-02 3.945690460456033073e-04 4.382833097244465865e-17 6.653350439145123617e-43
9.550000000000000155e-02 4.859262735688124829e-04 3.289673144694335917e-16 1.253124890613723047e-40
9.560000000000000442e-02 5.947239211451460722e-04 2.323815008517072521e-15 2.027003513259621129e-38
9.570000000000000728e-02 7.233711411953522817e-04 1.544795008668355113e-14 2.815458852177366606e-36
9.579999999999999627e-02 8.744035101965371955e-04 9.663580849380746656e-14 3.357582611163977345e-34
9.589999999999999913e-02 1.050443982011687108e-03 5.688383940726832471e-13 3.437606757626382523e-32
9.600000000000000200e-02 1.254153638498297241e-03 3.150776367507767938e-12 3.021540956948082986e-30
9.610000000000000486e-02 1.488172327060154196e-03 1.642204915181211220e-11 2.280116487426780716e-28
9.620000000000000773e-02 1.755049769329456756e-03 8.054354844841292350e-11 1.477334460517846348e-26
9.629999999999999671e-02 2.057168272799489439e-03 3.717492109403942173e-10 8.219687496711353981e-25
9.639999999999999958e-02 2.396658752541311246e-03 1.614795524107329086e-09 3.928016444991731869e-23
9.650000000000000244e-02 2.775312341405559470e-03 6.602006299709320144e-09 1.612671655716984933e-21
