#      theta/pi                     QFI                     CFI

9.349999999999999978e-02 5.013037654723326341e+03 5.042391620759667603e+03
9.360000000000000264e-02 5.119354687911502879e+03 5.151993414590132488e+03
9.369999999999999163e-02 5.231799439737500506e+03 5.268174361861880243e+03
9.379999999999999449e-02 5.351267772873579815e+03 5.391915519281212255e+03
9.389999999999999736e-02 5.478825867820094572e+03 5.524385172887030421e+03
9.400000000000000022e-02 5.615743115927423787e+03 5.666974268805644897e+03
9.410000000000000309e-02 5.763530799424711404e+03 5.821338818899320358e+03
9.419999999999999207e-02 5.923988243231831802e+03 5.989450476614345462e+03
9.429999999999999494e-02 6.099257162035050897e+03 6.173655150576988490e+03
9.439999999999999780e-02 6.291885678649993679e+03 6.376743635528545383e+03
9.450000000000000067e-02 6.504903542124474370e+03 6.602032832433867043e+03
9.460000000000001741e-02 6.741910035980901739e+03 6.853461271672608746e+03
9.469999999999999252e-02 7.007176628485151923e+03 7.135700216402887236e+03
9.479999999999999538e-02 7.305765647763219022e+03 7.454281727343576677e+03
9.490000000000001212e-02 7.643666864369911309e+03 7.815745485459069641e+03
9.499999999999998723e-02 8.027953525263134907e+03 8.227805719939704431e+03
9.510000000000000397e-02 8.466958507468072639e+03 8.699538516948216056e+03
9.520000000000000684e-02 8.970470108933974188e+03 9.241588287834721996e+03
9.529999999999998195e-02 9.549945801539684908e+03 9.866390706364098151e+03
9.539999999999999869e-02 1.021874214460432995e+04 1.058840901928857602e+04
9.550000000000000155e-02 1.099234774001807091e+04 1.142436762805873695e+04
9.559999999999999054e-02 1.188861384032355272e+04 1.239347527461571190e+04
9.569999999999999341e-02 1.292795717968119789e+04 1.351760724648253927e+04
9.579999999999999627e-02 1.413350749070346137e+04 1.482141340748215407e+04
9.589999999999999913e-02 1.553116271531187158e+04 1.633230817471703085e+04
9.600000000000000200e-02 1.714948582808210995e+04 1.808026592146870826e+04
9.609999999999999098e-02 1.901937895235585165e+04 2.009734839860607826e+04
9.619999999999999385e-02 2.117342866864742973e+04 2.241684548674471807e+04
9.629999999999999671e-02 2.364481131248441307e+04 2.507190886095859969e+04
9.639999999999999958e-02 2.646562700550425870e+04 2.809354172982575619e+04
9.650000000000000244e-02 2.966451555415425901e+04 3.150779998017648541e+04
9.659999999999999143e-02 3.326344590840558521e+04 3.533211727898960817e+04
9.669999999999999429e-02 3.727360877586407878e+04 3.957072672586911358e+04
9.679999999999999716e-02 4.169045366688035574e+04 4.420929675249056891e+04
9.690000000000000002e-02 4.648809479020170693e+04 4.920912116301815695e+04
9.700000000000001676e-02 5.161355979294873396e+04 5.450148781181975210e+04
9.709999999999999187e-02 5.698164199716709845e+04 5.998315166417921864e+04
9.719999999999999474e-02 6.247146078662487707e+04 6.551416240367610590e+04
9.730000000000001148e-02 6.792605163869983517e+04 7.091942696259646618e+04
9.739999999999998659e-02 7.315625495088678144e+04 7.599517186956926889e+04
9.750000000000000333e-02 7.794995632172039768e+04 8.052104816096827562e+04
9.760000000000000620e-02 8.208673321627394762e+04 8.427738654303300427e+04
9.769999999999998130e-02 8.535706237045586749e+04 8.706609429003838159e+04
9.779999999999999805e-02 8.758359898697267636e+04 8.873206956596755481e+04
9.790000000000000091e-02 8.864133198208059184e+04 8.918160263547328941e+04
9.800000000000000377e-02 8.847276763905295229e+04 8.839403601660163258e+04
9.809999999999999276e-02 8.709515669249252824e+04 8.642433608199123410e+04
