#      theta/pi                     QFI                     CFI

7.210000000000000853e-01 2.899576826011712569e+02 2.065250995383829888e+02
7.220000000000000862e-01 2.929096131324999419e+02 2.089455165360257638e+02
7.230000000000000870e-01 2.959489811110971687e+02 2.150413364230048217e+02
7.240000000000000879e-01 2.990807908288384169e+02 2.237296087578123718e+02
7.250000000000000888e-01 3.023104688140262510e+02 2.334552106400519449e+02
7.259999999999999787e-01 3.056439231237709464e+02 2.429831174506653326e+02
7.270000000000002016e-01 3.090876137879113230e+02 2.515865596330331755e+02
7.279999999999999805e-01 3.126486353222074399e+02 2.589618274943740630e+02
7.289999999999999813e-01 3.163348119343995677e+02 2.651034971737598767e+02
7.299999999999999822e-01 3.201548056778989348e+02 2.702949304666272496e+02
7.310000000000000941e-01 3.241182374630733989e+02 2.749783583807064247e+02
7.319999999999999840e-01 3.282358204818423246e+02 2.790371824857957108e+02
7.330000000000000959e-01 3.325195053819382451e+02 2.817159828906787311e+02
7.339999999999999858e-01 3.369826365181065739e+02 2.823604160467893394e+02
7.350000000000000977e-01 3.416401189619893444e+02 2.805251426897842180e+02
7.359999999999999876e-01 3.465085967832818596e+02 2.760707972260025258e+02
7.370000000000000995e-01 3.516066446668794470e+02 2.700608346076181761e+02
7.379999999999999893e-01 3.569549773485687183e+02 2.662238870590709325e+02
7.390000000000001013e-01 3.625766848554062562e+02 2.701049818896140096e+02
7.400000000000001021e-01 3.684975063040793657e+02 2.836180139768864592e+02
7.410000000000001030e-01 3.747461611869177887e+02 3.027854646113678996e+02
7.419999999999998819e-01 3.813547646649975604e+02 3.216109919335663108e+02
7.430000000000001048e-01 3.883593623487541890e+02 3.375065630898586164e+02
7.439999999999999947e-01 3.958006300208385824e+02 3.503846602320012948e+02
7.450000000000002176e-01 4.037247941508006193e+02 3.604963333464012294e+02
7.459999999999999964e-01 4.121848388303118895e+02 3.679290297970437678e+02
7.469999999999999973e-01 4.212420724053243362e+02 3.718577597181264309e+02
7.479999999999999982e-01 4.309681302563644749e+02 3.697971160524855918e+02
7.490000000000001101e-01 4.414474859288640118e+02 3.637597735527428995e+02
7.500000000000000000e-01 4.527805268820197284e+02 3.763581041478234965e+02
7.509999999999998899e-01 4.650872183542133484e+02 4.157976677686435778e+02
7.520000000000000018e-01 4.785113225081149153e+02 4.485736870844199871e+02
7.530000000000000027e-01 4.932250522651176539e+02 4.686722119782240270e+02
