#      theta/pi                     QFI                     CFI

5.999999999999999778e-02 1.971670204914588567e+02 1.743197187207225625e+02
6.099999999999999867e-02 1.951105846855928689e+02 1.722404337180519747e+02
6.199999999999999262e-02 1.930745668861571289e+02 1.702344264152033304e+02
6.300000000000000044e-02 1.910560170376444660e+02 1.682653646608140718e+02
6.400000000000000133e-02 1.890518923134729334e+02 1.663144183215897556e+02
6.500000000000000222e-02 1.870591413353685084e+02 1.643700907154807282e+02
6.600000000000000311e-02 1.850747917105911711e+02 1.624245198874932328e+02
6.700000000000000400e-02 1.830960402509018934e+02 1.604716783434159595e+02
6.800000000000000488e-02 1.811203453945609283e+02 1.585069079349346168e+02
6.900000000000000577e-02 1.791455215424859944e+02 1.565264275357568522e+02
7.000000000000000666e-02 1.771698352586251985e+02 1.545272012798466790e+02
7.100000000000000755e-02 1.751921035504781230e+02 1.525068722238334828e+02
7.200000000000000844e-02 1.732117947720985853e+02 1.504637425368145784e+02
7.299999999999999545e-02 1.712291330709538784e+02 1.483967804692658490e+02
7.399999999999999634e-02 1.692452077257659369e+02 1.463056409350766103e+02
7.499999999999999722e-02 1.672620892329340450e+02 1.441906924163124302e+02
7.599999999999999811e-02 1.652829545688292683e+02 1.420530622474715869e+02
7.699999999999999900e-02 1.633122247337851434e+02 1.398946105003242053e+02
7.799999999999999989e-02 1.613557184488947485e+02 1.377180248739813351e+02
7.900000000000000078e-02 1.594208267860862236e+02 1.355267995972961330e+02
8.000000000000000167e-02 1.575167145495940417e+02 1.333252583935307598e+02
8.100000000000000255e-02 1.556545554718367725e+02 1.311185602089586268e+02
8.200000000000000344e-02 1.538478097172144885e+02 1.289126955440072777e+02
8.299999999999999045e-02 1.521125539072970128e+02 1.267144727028643700e+02
8.400000000000000522e-02 1.504678758996941781e+02 1.245314952961296058e+02
8.500000000000001998e-02 1.489363489535509757e+02 1.223721369924014510e+02
8.600000000000000699e-02 1.475446027647260507e+02 1.202455292361628381e+02
