#     theta/pi                    M=1000                   M=10000                 M=25000

6.948999999999999622e-01 1.777547262176255916e-11 1.305036617942319452e-113 3.752425256578909158e-274
6.950000000000000622e-01 4.324174726452014392e-11 2.296608538796094807e-109 1.146143653003920230e-263
6.951000000000000512e-01 1.033363084169701824e-10 3.379349326529079041e-105 2.235823050883050756e-253
6.952000000000000401e-01 2.425680763620659722e-10 4.153228396309244307e-101 2.777813758831507195e-243
6.953000000000001402e-01 5.592557850199042721e-10 4.258837768026865226e-97 2.192226827828536944e-233
6.954000000000000181e-01 1.266340137931904535e-09 3.640120087152258039e-93 1.096191559354227404e-223
6.955000000000000071e-01 2.815930592440536588e-09 2.590877907172891314e-89 3.464652801852099734e-214
6.955999999999999961e-01 6.148873423380156134e-09 1.534236400121848058e-85 6.905735272727077098e-205
6.957000000000000961e-01 1.318387940098581937e-08 7.552296815500542688e-82 8.661474401392892245e-196
6.958000000000000851e-01 2.775483403727373388e-08 3.087835232136814221e-78 6.821964634937258414e-187
6.959000000000000741e-01 5.736633483983738870e-08 1.047812463076587563e-74 3.367560024528866707e-178
6.959999999999999520e-01 1.164060469690097664e-07 2.948847597214540454e-71 1.039943202239027494e-169
6.960999999999999410e-01 2.318848832935380376e-07 6.878027874172528397e-68 2.005576633307882436e-161
6.962000000000000410e-01 4.534483567688117766e-07 1.328740321298167273e-64 2.411555438479644355e-153
6.963000000000000300e-01 8.704088334960615884e-07 2.124812112317763552e-61 1.805185240064321781e-145
6.964000000000000190e-01 1.639992543527915531e-06 2.811010351332294467e-58 8.400312086815162057e-138
6.965000000000001190e-01 3.032970040264036865e-06 3.074966496624954759e-55 2.426858148813530859e-130
6.965999999999999970e-01 5.505389074452296763e-06 2.780006920720725264e-52 4.347481225101631037e-123
6.966999999999999860e-01 9.808192314019945329e-06 2.076285601894479527e-49 4.823768660002742899e-116
6.967999999999999750e-01 1.714982918018258227e-05 1.280526528578596615e-46 3.311639346061082715e-109
6.969000000000000750e-01 2.943002836430282725e-05 6.519149695930905239e-44 1.405401173875245152e-102
6.970000000000000639e-01 4.956477707550493766e-05 2.738738703772330564e-41 3.683757321262789223e-96
6.971000000000000529e-01 8.192191500340734265e-05 9.491599131606747817e-39 5.959185531768291115e-90
6.971999999999999309e-01 1.328818513293307112e-04 2.712966248011752909e-36 5.945633277241339364e-84
6.972999999999999199e-01 2.115267699676630267e-04 6.393925917044287584e-34 3.656557561181508296e-78
6.974000000000000199e-01 3.304424380723925076e-04 1.242297625923797231e-31 1.385461666068988864e-72
6.975000000000000089e-01 5.065882002839200730e-04 1.989525795019119783e-29 3.232848936155760388e-67
6.975999999999999979e-01 7.621531903043977886e-04 2.625938133770787746e-27 4.644101585750167963e-62
6.977000000000000979e-01 1.125272746825167541e-03 2.856205112482774845e-25 4.106151552845144823e-57
6.978000000000000869e-01 1.630433953273582176e-03 2.559981783463761416e-23 2.234143605970880798e-52
6.978999999999999648e-01 2.318361812602404322e-03 1.890657621812531734e-21 7.479793757354048489e-48
6.979999999999999538e-01 3.235159248715251123e-03 1.150579161875069109e-19 1.540860267367559676e-43
6.981000000000000538e-01 4.430487628415030396e-03 5.769785471082527100e-18 1.953246913550465054e-39
6.982000000000000428e-01 5.954631372123557823e-03 2.384333340432104796e-16 1.523801393547361282e-35
6.983000000000000318e-01 7.854397524962903818e-03 8.120363010499794194e-15 7.317543847676348916e-32
6.984000000000000208e-01 1.016795790315218329e-02 2.279472264499536741e-13 2.163651241277853758e-28
6.984999999999998987e-01 1.291893567144723927e-02 5.274785419413871375e-12 3.940429891417780999e-25
6.985999999999999988e-01 1.611024585520800731e-02 1.006375150953572851e-10 4.421947353837743677e-22
6.986999999999999877e-01 1.971838555446397620e-02 1.583376607567546742e-09 3.059183726784161851e-19
6.987999999999999767e-01 2.368899361921650293e-02 2.054819748739299805e-08 1.305439412110223852e-16
6.989000000000000767e-01 2.793452175398866352e-02 2.200065415889593941e-07 3.438210210479803931e-14
6.990000000000000657e-01 3.233475052658295323e-02 1.943962990586962219e-06 5.592755432834308639e-12
6.990999999999999437e-01 3.674063517679528740e-02 1.417946789014647712e-05 5.622861647706646992e-10
6.991999999999999327e-01 4.098159393860003469e-02 8.540653018540598303e-05 3.496829685460325218e-08
6.993000000000000327e-01 4.487589962646661851e-02 4.249438727742095665e-04 1.346327981858197577e-06
6.994000000000000217e-01 4.824337002241729094e-02 1.747197013004289298e-03 3.212080375746574612e-05
6.995000000000000107e-01 5.091915268000910683e-02 5.938716919129798447e-03 4.753423844588044360e-04
6.995999999999999996e-01 5.276714080350977665e-02 1.669415494892677321e-02 4.367792426187044538e-03
6.996999999999999886e-01 5.369149560887096634e-02 3.882824980510891921e-02 2.494757489614488760e-02
6.997999999999999776e-01 5.364491150951744558e-02 7.475546564474788713e-02 8.867591115710922456e-02
6.998999999999999666e-01 5.263262859978019848e-02 1.191954353953101481e-01 1.963894742648474023e-01
6.999999999999999556e-01 5.071171881761153688e-02 1.574769704842265139e-01 2.713401373956488283e-01
7.001000000000000556e-01 4.798576548802622327e-02 1.724819917634144439e-01 2.341880406137198389e-01
