#     theta/pi                    M=1000                   M=10000                 M=25000

7.054999999999999050e-01 1.071370662885650325e-03 1.673560586944888659e-40 1.797989803394532306e-91
7.056000000000000050e-01 8.728962782302028328e-04 6.271044857562554637e-42 6.581892122683142731e-95
7.056999999999999940e-01 7.068765961378567974e-04 2.212394617551813832e-43 2.072373438044782235e-98
7.057999999999999829e-01 5.689615635866705941e-04 7.348522595611456012e-45 5.611917254248415416e-102
7.059000000000000830e-01 4.551777562523637061e-04 2.297966794392047947e-46 1.306938435617986821e-105
7.059999999999999609e-01 3.619415488463092307e-04 6.765287508249740311e-48 2.617439811580821843e-109
7.060999999999999499e-01 2.860591270898703862e-04 1.875085600365475728e-49 4.507705386032439465e-113
7.061999999999999389e-01 2.247159551477769576e-04 4.892635317196941042e-51 6.675344011563672462e-117
7.062999999999999279e-01 1.754581865436251646e-04 1.201841312943363616e-52 8.499937129680712038e-121
7.064000000000000279e-01 1.361682988001335223e-04 2.779269425115270418e-54 9.306126350353353662e-125
7.065000000000000169e-01 1.050369691893133606e-04 6.050499153923849446e-56 8.760385956990393122e-129
7.065999999999998948e-01 8.053291538068870945e-05 1.240017175070925274e-57 7.090407609598171999e-133
7.066999999999998838e-01 6.137212120185583778e-05 2.392435162058042587e-59 4.934102758368274433e-137
7.067999999999999838e-01 4.648757100672783963e-05 4.345400642493926264e-61 2.952108870509832609e-141
7.068999999999999728e-01 3.500033897929162769e-05 7.430174382042086522e-63 1.518604799257242440e-145
7.069999999999999618e-01 2.619263087915574612e-05 1.196055356416097193e-64 6.716597498160364158e-150
7.071000000000000618e-01 1.948316049336468476e-05 1.812555933321307587e-66 2.554188472786926534e-154
7.071999999999999398e-01 1.440506362939059022e-05 2.585981571105171319e-68 8.351520401199973520e-159
7.072999999999999288e-01 1.058640865870223504e-05 3.473446170227608181e-70 2.348011101025803683e-163
7.073999999999999178e-01 7.733252370657106085e-06 4.392435659099062366e-72 5.676398556314025490e-168
7.074999999999999067e-01 5.615109937863396541e-06 5.229615856337027530e-74 1.180057283832646236e-172
7.076000000000000068e-01 4.052654091859042796e-06 5.862257609902976203e-76 2.109664374036992516e-177
7.076999999999999957e-01 2.907426804532866027e-06 6.187330015315403439e-78 3.243617505295072334e-182
7.077999999999999847e-01 2.073332517750224092e-06 6.148920186033466540e-80 4.289248352855407171e-187
7.078999999999998627e-01 1.469681170574979065e-06 5.753961534566889967e-82 4.878662763052882156e-192
7.079999999999999627e-01 1.035558269698907648e-06 5.070191242125546919e-84 4.773365953946542116e-197
7.080999999999999517e-01 7.253148769327292097e-07 4.207162079595381351e-86 4.017842091368827948e-202
7.081999999999999407e-01 5.049900397864058296e-07 3.287618252458726001e-88 2.909703514590788765e-207
7.083000000000000407e-01 3.494997996056655207e-07 2.419479813453402920e-90 1.813174654970198116e-212
7.084000000000000297e-01 2.404489096571255387e-07 1.677003239188414754e-92 9.723366949091334923e-218
7.084999999999999076e-01 1.644426588152029205e-07 1.094816825060339959e-94 4.487814116120917281e-223
7.085999999999998966e-01 1.117959747651746003e-07 6.732412112495665197e-97 1.783007606924920140e-228
7.086999999999998856e-01 7.555482675978482943e-08 3.899862104002252603e-99 6.098664797112744125e-234
7.087999999999999856e-01 5.076065012377972507e-08 2.128170849155671019e-101 1.796167412193137860e-239
7.088999999999999746e-01 3.390203531215974139e-08 1.094141501670558416e-103 4.555760193373268731e-245
7.089999999999999636e-01 2.250934728573318894e-08 5.300088300034944101e-106 9.952971628350926463e-251
