#      theta/pi                     QFI                     CFI

7.731999999999999984e-01 3.588971328059710686e+03 3.610363191943930360e+03
7.733000000000000984e-01 3.690036991976230638e+03 3.714815473215295697e+03
7.733999999999999764e-01 3.795875350169539161e+03 3.824164032644881445e+03
7.735000000000000764e-01 3.906731427082568644e+03 3.938660626992739253e+03
7.736000000000000654e-01 4.022860990313806724e+03 4.058567727089478012e+03
7.736999999999999433e-01 4.144530425520403696e+03 4.184158346599917422e+03
7.738000000000000433e-01 4.272016480275968206e+03 4.315715646482810371e+03
7.739000000000000323e-01 4.405605853440315514e+03 4.453532531466817090e+03
7.740000000000000213e-01 4.545594605653534018e+03 4.597910896242710805e+03
7.740999999999998993e-01 4.692287361018760748e+03 4.749160723477427382e+03
7.741999999999999993e-01 4.845996269984076207e+03 4.907598910321406038e+03
7.742999999999999883e-01 5.007039697881456959e+03 5.073547801412177250e+03
7.743999999999999773e-01 5.175740604660615645e+03 5.247333392515479318e+03
7.745000000000000773e-01 5.352424572630916373e+03 5.429283160717744067e+03
7.746000000000000663e-01 5.537417449810006474e+03 5.619723487683847452e+03
7.747000000000000552e-01 5.731042554753884360e+03 5.818976620798647673e+03
7.748000000000000442e-01 5.933617411245487347e+03 6.027357141224370025e+03
7.749000000000000332e-01 6.145449961744734537e+03 6.245167887392727607e+03
7.750000000000000222e-01 6.366834225628308559e+03 6.472695301574040059e+03
7.751000000000000112e-01 6.598045353430412433e+03 6.710204152547970807e+03
7.752000000000000002e-01 6.839334059801663898e+03 6.957931620218028911e+03
7.752999999999998781e-01 7.090920389263572361e+03 7.216080712045832115e+03
7.753999999999999782e-01 7.352986815622523864e+03 7.484812950267538326e+03
7.755000000000000782e-01 7.625670661288098017e+03 7.764240490783454334e+03
7.756000000000001782e-01 7.909055847591639576e+03 8.054417474100214349e+03
7.757000000000000561e-01 8.203164015489786834e+03 8.355330821923329495e+03
7.758000000000000451e-01 8.507945062998454887e+03 8.666890474727666515e+03
7.759000000000000341e-01 8.823267181816290758e+03 8.988919178762746014e+03
7.760000000000001341e-01 9.148906515296304860e+03 9.321141962636431344e+03
7.761000000000000121e-01 9.484536572743563738e+03 9.663175456952969398e+03
7.762000000000000011e-01 9.829717596638452960e+03 1.001451727520618988e+04
7.762999999999999901e-01 1.018388610494249588e+04 1.037453569981725741e+04
7.763999999999999790e-01 1.054634487410500151e+04 1.074245996036654833e+04
7.764999999999998570e-01 1.091625368357151092e+04 1.111737144713472117e+04
7.766000000000000680e-01 1.129262115576968063e+04 1.149819621327901405e+04
7.767000000000000570e-01 1.167429808902367404e+04 1.188369917909665492e+04
7.768000000000001570e-01 1.205997268283685480e+04 1.227248044993219446e+04
7.769000000000000350e-01 1.244816809348990319e+04 1.266297419126229761e+04
7.770000000000000240e-01 1.283724273783790886e+04 1.305345047549268565e+04
7.771000000000000130e-01 1.322539377235110442e+04 1.344202051574821780e+04
7.772000000000001130e-01 1.361066411585954484e+04 1.382664563120953062e+04
7.772999999999999909e-01 1.399095335922405684e+04 1.420515025202065226e+04
7.773999999999999799e-01 1.436403278179112203e+04 1.457523913489597908e+04
7.775000000000000799e-01 1.472756463993673606e+04 1.493451889957451203e+04
7.775999999999999579e-01 1.507912571204973756e+04 1.528052376647644633e+04
7.777000000000000579e-01 1.541623499113712933e+04 1.561074538395272430e+04
7.778000000000000469e-01 1.573638519105776504e+04 1.592266621749943988e+04
7.779000000000000359e-01 1.603707761845720415e+04 1.621379604071652648e+04
7.779999999999999138e-01 1.631585973253540396e+04 1.648171072945538253e+04
7.781000000000000139e-01 1.657036459203971754e+04 1.672409248155914247e+04
7.782000000000000028e-01 1.679835120543745506e+04 1.693877040884570670e+04
7.782999999999999918e-01 1.699774470733328417e+04 1.712376037278401054e+04
7.784000000000000918e-01 1.716667518674512394e+04 1.727730286076180710e+04
7.784999999999999698e-01 1.730351397101131806e+04 1.739789770389093610e+04
7.786000000000000698e-01 1.740690618785161132e+04 1.748433448479973595e+04
7.787000000000000588e-01 1.747579850320660262e+04 1.753571758784654594e+04
7.787999999999999368e-01 1.750946106848873387e+04 1.755148500703703394e+04
