#     theta/pi                    M=1000                   M=10000                 M=25000

6.965000000000001190e-01 4.583532739195830310e-06 1.039784630328770618e-71 4.419973447263747443e-167
6.965999999999999970e-01 8.325706641879516260e-06 2.512076429997394389e-68 7.311682025215007161e-159
6.966999999999999860e-01 1.483266070654263118e-05 5.015188831510005092e-65 7.505881732084602635e-151
6.967999999999999750e-01 2.591643718154216529e-05 8.270195725359384569e-62 4.776430425785546101e-143
6.969000000000000750e-01 4.440916035658567726e-05 1.126014411165328209e-58 1.882323136660754286e-135
6.970000000000000639e-01 7.462687335222757342e-05 1.265358551824248266e-55 4.589717210425909101e-128
6.971000000000000529e-01 1.229785440877665542e-04 1.173228245629663364e-52 6.918793308308021263e-121
6.971999999999999309e-01 1.987295455156751136e-04 8.972718551141324315e-50 6.443443243550401900e-114
6.972999999999999199e-01 3.149079652854370982e-04 5.658833580414489525e-47 3.704909275348827705e-107
6.974000000000000199e-01 4.893094576430323571e-04 2.942353821926530338e-44 1.314544249541775277e-100
6.975000000000000089e-01 7.455117074790146335e-04 1.261091170716853819e-41 2.876827309583043441e-94
6.975999999999999979e-01 1.113755393517615972e-03 4.454661331951668443e-39 3.881792152821566267e-88
6.977000000000000979e-01 1.631491088006924552e-03 1.296721567508475653e-36 3.228531337983128460e-82
6.978000000000000869e-01 2.343341457974734612e-03 3.110310717965971209e-34 1.654783014280783672e-76
6.978999999999999648e-01 3.300200066274224485e-03 6.146964071737414859e-32 5.226170688985246332e-71
6.979999999999999538e-01 4.557198890551300390e-03 1.000934634845203662e-29 1.016972581904023107e-65
6.981000000000000538e-01 6.170342274004894829e-03 1.342889817199558301e-27 1.219347519521790869e-60
6.982000000000000428e-01 8.191735774085282321e-03 1.484496186442027404e-25 9.009072602844147388e-56
6.983000000000000318e-01 1.066353413471532625e-02 1.352225006511795502e-23 4.102422692872370432e-51
6.984000000000000208e-01 1.361097844669414449e-02 1.015055100014575483e-21 1.151629948815715265e-46
6.984999999999998987e-01 1.703515684653283263e-02 6.279902618858594800e-20 1.993575808282856608e-42
6.985999999999999988e-01 2.090635934586613717e-02 3.202600233549645576e-18 2.128947011892156569e-38
6.986999999999999877e-01 2.515905061986953989e-02 1.346526162506468178e-16 1.403148857328782160e-34
6.987999999999999767e-01 2.968950199131346543e-02 4.668489974682979148e-15 5.710483778119148678e-31
6.989000000000000767e-01 3.435696781124865373e-02 1.335015695679371656e-13 1.435900151409594620e-27
6.990000000000000657e-01 3.898895216195954333e-02 3.149593979361750819e-12 2.232223434720978768e-24
6.990999999999999437e-01 4.339061582860610777e-02 6.131998028755220443e-11 2.146943282850480168e-21
6.991999999999999327e-01 4.735778493101766573e-02 9.855087674085613682e-10 1.278519681981385539e-18
6.993000000000000327e-01 5.069243533783877181e-02 1.307893869414273028e-08 4.718014370329572994e-16
6.994000000000000217e-01 5.321904821210354103e-02 1.433808012996447853e-07 1.079849737355525679e-13
6.995000000000000107e-01 5.479996030014443187e-02 1.298910619868358111e-06 1.534378878309628479e-11
6.995999999999999996e-01 5.534783523234072106e-02 9.727712554521107864e-06 1.354894435602500025e-09
6.996999999999999886e-01 5.483367792558221238e-02 6.025163198216969740e-05 7.442951374745500525e-08
6.997999999999999776e-01 5.328936605180105424e-02 3.087783158321060232e-04 2.546476538891863341e-06
6.998999999999999666e-01 5.080439269048041967e-02 1.309928620811062197e-03 5.432516771869347219e-05
6.999999999999999556e-01 4.751728133777079199e-02 4.602394496490479041e-03 7.235447001075785830e-04
7.001000000000000556e-01 4.360281836628843166e-02 1.339915326842129953e-02 6.024098707552932343e-03
7.002000000000000446e-01 3.925673692769579559e-02 3.234144206938704968e-02 3.139524996211519314e-02
7.003000000000000336e-01 3.467970859513958698e-02 6.475454875978667313e-02 1.025620242575053659e-01
7.003999999999999115e-01 3.006243587140858264e-02 1.076116889633086382e-01 2.103236933357717497e-01
7.005000000000000115e-01 2.557332405652859575e-02 1.485200820130753996e-01 2.711560430080395823e-01
7.006000000000000005e-01 2.134972055350466830e-02 1.703391890593256019e-01 2.201163761808880015e-01
7.006999999999999895e-01 1.749314185643435077e-02 1.624513833798562346e-01 1.126890314217256217e-01
7.008000000000000895e-01 1.406836258200076274e-02 1.289128047777046981e-01 3.644373587825369687e-02
7.009000000000000785e-01 1.110579830417501163e-02 8.517758954608169175e-02 7.457839759705105209e-03
7.009999999999999565e-01 8.606325333285289730e-03 4.689348397618621489e-02 9.674088881473229436e-04
7.010999999999999455e-01 6.547561727887439911e-03 2.152618313176735826e-02 7.968795630118191708e-05
7.011999999999999345e-01 4.890669110154704201e-03 8.245303527901867019e-03 4.175996895400012770e-06
7.013000000000000345e-01 3.586886338398464699e-03 2.637285676895330215e-03 1.394864823173987407e-07
7.014000000000000234e-01 2.583225162812813770e-03 7.049405217805684420e-04 2.975420236054759879e-09
7.015000000000000124e-01 1.826996491833380015e-03 1.575920709603113488e-04 4.061331625362609072e-11
7.015999999999998904e-01 1.269054530970279392e-03 2.948849022842977302e-05 3.554446942971228556e-13
7.016999999999999904e-01 8.658189956361527027e-04 4.622367972715620299e-06 1.998748545169400240e-15
7.017999999999999794e-01 5.802513236607935313e-04 6.074849988946493370e-07 7.236780049281658789e-18
7.018999999999999684e-01 3.820200273166449363e-04 6.699441724927993172e-08 1.690719313168597818e-20
7.020000000000000684e-01 2.471022182523605407e-04 6.205178183855995100e-09 2.554427454874926445e-23
7.021000000000000574e-01 1.570464183195954485e-04 4.831373716586820212e-10 2.501425418792425601e-26
7.021999999999999353e-01 9.808022614657441760e-05 3.165070606657426386e-11 1.591286449658996126e-29
7.022999999999999243e-01 6.019755495190266185e-05 1.746206897710416486e-12 6.591581938806462179e-33
7.023999999999999133e-01 3.631306790303977477e-05 8.121160168087137320e-14 1.782147934710730452e-36
7.025000000000000133e-01 2.153164623298941730e-05 3.186900209291001142e-15 3.152546706516207418e-40
7.026000000000000023e-01 1.255064424871418954e-05 1.056263170550258857e-16 3.657735700740403918e-44
7.026999999999999913e-01 7.192408649395259756e-06 2.959795229414545492e-18 2.790511562547457488e-48
7.028000000000000913e-01 4.052733767315631959e-06 7.019026623087831814e-20 1.403401802355663274e-52
7.028999999999999693e-01 2.245607162490852712e-06 1.410148605718581203e-21 4.664779565174784525e-57
7.029999999999999583e-01 1.223710979635607113e-06 2.402591424122842280e-23 1.027480167984045056e-61
7.030999999999999472e-01 6.558906339370875302e-07 3.475229318378686005e-25 1.503728416589520721e-66
7.032000000000000473e-01 3.458122755091938478e-07 4.272126737302432574e-27 1.466214238337438934e-71
7.033000000000000362e-01 1.793723310665337061e-07 4.468251883241480016e-29 9.551111703923458543e-77
7.034000000000000252e-01 9.154339125747189372e-08 3.980584792092093699e-31 4.168244677713318939e-82
7.034999999999999032e-01 4.597335827090525622e-08 3.023860656167393458e-33 1.222158346775574035e-87
7.035999999999998922e-01 2.272192377194052032e-08 1.961007975835660910e-35 2.414497722143584891e-93
7.036999999999999922e-01 1.105341086637468465e-08 1.086935391410288838e-37 3.223435933151622043e-99
7.037999999999999812e-01 5.293139530184428974e-09 5.155206084481194959e-40 2.916687319653978049e-105
7.038999999999999702e-01 2.495458848336439316e-09 2.094712649983352375e-42 1.794083830677680547e-111
7.040000000000000702e-01 1.158410565640898989e-09 7.300695403043171020e-45 7.524866785141829080e-118
7.040999999999999481e-01 5.295480588016624523e-10 2.185232291897745370e-47 2.158723738630106941e-124
7.041999999999999371e-01 2.384160719701560956e-10 5.624240420029337767e-50 4.249072737148665977e-131
7.042999999999999261e-01 1.057329182837223530e-10 1.246261946177837680e-52 5.756579700432525242e-138
7.044000000000000261e-01 4.619420289993571625e-11 2.380604782357815743e-55 5.385180669242329150e-145
7.045000000000000151e-01 1.988502266023019776e-11 3.925166812553394923e-58 3.489886545771367301e-152
7.046000000000000041e-01 8.435010070115730789e-12 5.593570815238901643e-61 1.571901121202331047e-159
7.046999999999998820e-01 3.526357463885408458e-12 6.898501215418467081e-64 4.937275687606918658e-167
7.047999999999999821e-01 1.453146337712532738e-12 7.372865799528141481e-67 1.085077800322906649e-174
7.048999999999999710e-01 5.903322336972617499e-13 6.837893204253322249e-70 1.674274239195626314e-182
7.049999999999999600e-01 2.364560210499130974e-13 5.510717501019330171e-73 1.820049398150577151e-190
7.050999999999999490e-01 9.339730906341252396e-14 3.864526709044872355e-76 1.398772406092359878e-198
7.052000000000000490e-01 3.638418050309022712e-14 2.361545544005699725e-79 7.626977769345099361e-207
7.053000000000000380e-01 1.398137838082278853e-14 1.259287066901714086e-82 2.961089347121092084e-215
7.053999999999999160e-01 5.300443623061212549e-15 5.868203537868599092e-86 8.215122642929372417e-224
7.054999999999999050e-01 1.982739876487823983e-15 2.393140832960150115e-89 1.634661573165212541e-232
7.056000000000000050e-01 7.319438723248902443e-16 8.553654748830703439e-93 2.341523615819554898e-241
7.056999999999999940e-01 2.666958965829360079e-16 2.683492080526405371e-96 2.423536841460764749e-250
7.057999999999999829e-01 9.592905772042766542e-17 7.400582321365918505e-100 1.819376212213271969e-259
7.059000000000000830e-01 3.406817461979898357e-17 1.796831473807935884e-103 9.944352707412863328e-269
7.059999999999999609e-01 1.194765625693892083e-17 3.846720633422935846e-107 3.972633840461251167e-278
