#     theta/pi                    M=1000                   M=10000                 M=25000

6.421999999999999931e-01 1.993867136674674911e-03 1.261904041350330329e-27 5.835092641520841846e-61
6.422999999999999821e-01 2.209351681418127676e-03 6.609859272943804867e-27 3.086660650390637567e-59
6.423999999999999710e-01 2.442833947385314886e-03 3.390103803803984060e-26 1.548844064866387638e-57
6.425000000000000711e-01 2.695127352262304248e-03 1.702343684709184800e-25 7.370558110290273469e-56
6.426000000000000600e-01 2.966993868123412367e-03 8.368608015117710341e-25 3.325541522740415024e-54
6.427000000000000490e-01 3.259130497531706645e-03 4.027067572732751680e-24 1.422290829731276649e-52
6.428000000000001490e-01 3.572155024289730852e-03 1.896758300698207867e-23 5.764643406814973255e-51
6.429000000000000270e-01 3.906591171583225983e-03 8.743389615141650339e-23 2.213643620896367438e-49
6.430000000000000160e-01 4.262853326315158529e-03 3.944114419249797408e-22 8.051682464477015084e-48
6.431000000000000050e-01 4.641231014273234506e-03 1.740915870374378475e-21 2.773326166790456308e-46
6.432000000000001050e-01 5.041873336070647540e-03 7.518325612165769116e-21 9.043604529779621280e-45
6.433000000000000940e-01 5.464773597335710435e-03 3.176403729587450868e-20 2.791249338904758897e-43
6.434000000000000830e-01 5.909754388419787355e-03 1.312735788320564496e-19 8.151950510032195543e-42
6.434999999999999609e-01 6.376453387501894096e-03 5.306419031968607156e-19 2.252261710814555081e-40
6.435999999999999499e-01 6.864310176160475299e-03 2.097797472363417006e-18 5.885161516120426826e-39
6.437000000000000499e-01 7.372554367236975117e-03 8.109951643363529311e-18 1.454009116234221488e-37
6.438000000000000389e-01 7.900195350535323471e-03 3.065633498898482300e-17 3.395715332881676113e-36
6.439000000000000279e-01 8.446013961970672002e-03 1.132983824813952159e-16 7.494388581976676148e-35
6.440000000000001279e-01 9.008556375442025588e-03 4.093385199206825324e-16 1.562667178276473166e-33
6.441000000000000059e-01 9.586130503862642580e-03 1.445607992323598674e-15 3.077555317666064827e-32
6.441999999999999948e-01 1.017680517545146643e-02 4.989772525152125675e-15 5.723178003637887254e-31
6.442999999999999838e-01 1.077841232434831494e-02 1.683162946264269609e-14 1.004714629920699412e-29
6.444000000000000838e-01 1.138855239971768227e-02 5.548037331177260012e-14 1.664575592397487634e-28
6.445000000000000728e-01 1.200460315576229453e-02 1.786786396407444835e-13 2.601956493220255916e-27
6.446000000000000618e-01 1.262373193672453389e-02 5.621831959179923819e-13 3.836293136139468862e-26
6.446999999999999398e-01 1.324291151586147637e-02 1.727852274216769269e-12 5.333563347856601620e-25
6.447999999999999288e-01 1.385893948753796380e-02 5.186926612190365916e-12 6.990284539958903120e-24
6.449000000000000288e-01 1.446846114677191944e-02 1.520684829344936104e-11 8.634176146257605034e-23
6.450000000000000178e-01 1.506799572287299653e-02 4.353559225203786200e-11 1.004781564541126747e-21
6.451000000000000068e-01 1.565396576388954769e-02 1.216959141427466460e-10 1.101342190391514011e-20
